pose_x,pose_y
1.4861204052695325,-0.11365558288622837
2.9274671328209503,-0.150465316518653
4.420595646969275,-0.15741246448192694
5.916036804787251,-0.15910628678831867
7.376920297173698,-0.16012954733340534
8.614400683389562,0.13936765154050162
9.459226847058625,0.9015720154095175
9.67264875596559,2.18519394021737
9.7363051282252,3.654589986943371
9.726901187063781,5.09448280610613
9.667990563269186,6.431149182230634
9.498933909777644,7.35921386480608
8.96712228549396,8.289039842478015
7.842915927831275,8.542601520445126
6.415226650720815,8.628910717721915
4.926817714433933,8.64918841755875
3.4294488715998974,8.656435441744895
1.9660423083092733,8.658804190510693
0.49162528889342794,8.65901808534997
-0.992998750990095,8.659246300548821
-2.4331532931944615,8.65946583752105
-3.919232058341661,8.659419004193984
-5.3761615467297,8.659557268625564
-6.849374726104506,8.65987419930878
-8.335301849755151,8.660049772481157
-9.800359602686312,8.66051130857004
-11.302290221055285,8.660698190514347
-12.612158203249308,8.35847404655823
-13.395634009848923,7.63887151613002
-13.580433886299813,6.405546218015733
-13.319017490805978,5.08472169249857
-13.045688347225395,3.940858874669993
-13.484400580725474,2.8594328960323354
-13.571737594514264,1.5275518478801615
-13.124480887042864,0.34792814081319556
-12.153023647951196,0.004945963235632567
-10.763901368726998,-0.11406201358465788
-9.266060879330555,-0.1452657832762333
-7.7894509733494575,-0.1545429577639376
-6.297750423018568,-0.15833274694451455
